qid_date,mean_return
20211206,0.601
20211207,1.4983
20211208,1.6549
20211209,-0.4658
20211210,0.5658
20211213,-0.6725000000000001
20211214,-0.8689
20211215,0.5743999999999999
20211216,-1.59
20211217,-1.502
20211220,0.6759
20211221,0.018099999999999998
20211222,0.696
20211223,-0.5552
20211224,-0.042699999999999995
20211227,0.7432
20211228,-1.4642
20211229,0.7772
20211230,0.3817
20211231,-0.4592
20220104,-1.0111
20220105,-1.0264
20220106,0.0843
20220107,0.4479
20220110,-0.9568000000000001
20220111,0.9947999999999999
20220112,-1.6456
20220113,-0.8238000000000001
20220114,0.8562
20220117,0.9648
20220118,-0.6865
20220119,0.9007
20220120,-0.9178000000000001
20220121,0.1537
20220124,-2.2638
20220125,0.7221
20220126,-1.9631
20220127,-1.216
20220128,1.5392
20220207,-0.5479
20220208,0.9377
20220209,-0.2638
20220210,-0.8307
20220211,-1.0819
20220214,1.0621
20220215,0.3872
20220216,0.2404
20220217,0.4752
20220218,-0.3654
20220221,-1.2998
20220222,1.0673
20220223,-2.029
20220224,0.9722
20220225,0.1782
20220228,0.8287
20220301,-0.8909
20220302,-0.5907
20220303,-1.2143
20220304,-3.1963999999999997
20220307,-2.0092
20220308,-0.917
20220309,1.5716999999999999
20220310,0.3172
20220311,-3.0612
20220314,-4.5754
20220315,4.3226
20220316,1.9621
20220317,0.6639999999999999
20220318,-0.16929999999999998
20220321,-0.0826
20220322,0.4971
20220323,-0.5911000000000001
20220324,-1.8065
20220325,-0.627
20220328,-0.3468
20220329,2.9000000000000004
20220330,-0.7421000000000001
20220331,1.2668
20220401,-0.28959999999999997
20220406,-1.2854
20220407,0.5132
20220408,-3.0907999999999998
20220411,1.9472
20220412,-0.9642000000000001
20220413,1.2504
20220414,-0.0689
20220415,-0.5355000000000001
20220418,-0.7572000000000001
20220419,-1.5521
20220420,-1.843
20220421,0.4344
20220422,-4.9437
20220425,-0.8088000000000001
20220426,2.9427000000000003
20220427,0.6547999999999999
20220428,2.4246000000000003
20220429,-0.1518
20220505,-2.53
20220506,-0.8044
20220509,1.0927
20220510,1.4412
20220511,-0.4463
20220512,0.7526999999999999
20220513,-0.8054
20220516,1.2458
20220517,-0.3507
20220518,0.19110000000000002
20220519,1.9485999999999999
20220520,-0.5808000000000001
20220523,-2.3407
20220524,0.6052
20220525,0.2461
20220526,0.2051
20220527,0.6911999999999999
20220530,1.5495999999999999
20220531,-0.2055
20220601,0.1549
20220602,1.8694
20220606,0.3115
20220607,0.9719
20220608,-1.0475
20220609,1.5148
20220610,-1.1727
20220613,0.7850999999999999
20220614,1.3225
20220615,-0.6597000000000001
20220616,1.3861999999999999
20220617,0.4948
20220620,-0.114
20220621,-1.2718
20220622,1.7137
20220623,1.17
20220624,1.1246
20220627,1.0391
20220628,-1.5417
20220629,1.4381
20220630,-0.4095
20220701,0.6546
20220704,-0.146
20220705,-1.4621
20220706,0.4393
20220707,-0.3323
20220708,-1.6762000000000001
20220711,-0.9431
20220712,0.1802
20220713,0.0126
20220714,-1.7033
20220715,1.0353999999999999
20220718,-0.5431
20220719,0.3372
20220720,-1.1161
20220721,0.049800000000000004
20220722,-0.6054
20220725,0.7896
20220726,-0.4948
20220727,0.0135
20220728,-1.3167
20220729,0.4439
20220801,-1.951
20220802,-0.9767
20220803,0.8482
20220804,1.3485
20220805,-0.2142
20220808,0.1965
20220809,-1.1217000000000001
20220810,2.0376000000000003
20220811,-0.0586
20220812,-0.13219999999999998
20220815,-0.189
20220816,0.9348
20220817,-0.8757
20220818,-0.6960000000000001
20220819,0.7289
20220822,-0.4874
20220823,-1.8920000000000001
20220824,0.8268
20220825,-0.2128
20220826,-0.4404
20220829,-0.3373
20220830,0.0731
20220831,-0.8621000000000001
20220901,-0.49929999999999997
20220902,-0.20509999999999998
20220905,0.9161999999999999
20220906,0.06509999999999999
20220907,-0.42819999999999997
20220908,1.3879
20220909,0.4217
20220913,-1.1146
20220914,-0.9422
20220915,-2.3466
20220916,-0.1207
20220919,0.1215
20220920,-0.7415
20220921,-0.8826
20220922,-0.3459
20220923,-0.5033000000000001
20220926,1.448
20220927,-1.6352
20220928,-0.042499999999999996
20220929,-0.5832
20220930,-2.2079
20221010,0.17980000000000002
20221011,1.5172999999999999
20221012,-0.8375
20221013,2.3913
20221014,0.10099999999999999
20221017,-0.21339999999999998
20221018,-1.61
20221019,-0.5737000000000001
20221020,-0.3221
20221021,-2.9276999999999997
20221024,-0.16449999999999998
20221025,0.8101999999999999
20221026,-0.7060000000000001
20221027,-2.4751
20221028,-0.9229
20221031,3.5744000000000002
20221101,1.1989999999999998
20221102,-0.8148000000000001
20221103,3.2682
20221104,0.21400000000000002
20221107,-0.6895
20221108,-0.9366000000000001
20221109,-0.7711
20221110,2.7862
20221111,0.1456
20221114,1.895
20221115,-0.8185
20221116,-0.4117
20221117,-0.4493
20221118,-0.8550000000000001
20221121,0.010199999999999999
20221122,0.10329999999999999
20221123,-0.4447
20221124,0.5033
20221125,-1.1281
20221128,3.0837000000000003
20221129,0.1183
20221130,1.0815
20221201,-0.6132000000000001
20221202,1.9599
20221205,0.5386
20221206,-0.2475
20221207,0.0171
20221208,0.9851
20221209,-1.1221
20221212,-0.1979
20221213,0.23170000000000002
20221214,-0.07490000000000001
20221215,0.055
20221216,-1.5444
20221219,-1.6507
20221220,0.0381
20221221,0.14170000000000002
20221222,-0.2052
20221223,0.3973
20221226,1.1527
20221227,-0.4283
20221228,-0.37779999999999997
20221229,0.3856
20221230,0.4185
20230103,0.1283
20230104,1.9411
20230105,0.3086
20230106,0.8079999999999999
20230109,0.1069
20230110,-0.18689999999999998
20230111,0.19390000000000002
20230112,1.4048
20230113,1.5591
20230116,-0.019
20230117,-0.1691
20230118,0.6204999999999999
20230119,0.6123999999999999
20230120,0.4723
20230130,-1.0605
20230131,0.9383999999999999
20230201,-0.3539
20230202,-0.9467000000000001
20230203,-1.3236
20230206,0.1784
20230207,-0.4435
20230208,1.3407
20230209,-0.5958
20230210,0.9058999999999999
20230213,0.0398
20230214,-0.5227
20230215,-0.7340000000000001
20230216,-1.4424000000000001
20230217,2.4518
20230220,0.2612
20230221,-0.9041
20230222,-0.0821
20230223,-1.0397
20230224,-0.42519999999999997
20230227,0.6317999999999999
20230228,1.4109
20230301,-0.2246
20230302,0.3096
20230303,-0.5231
