qid_date,mean_return,1
20211206,-0.0229281,0.9770719
20211207,0.025162333,1.001657309
20211208,-0.041179,0.960410063
20211209,-0.000139833,0.960275765
20211210,0.0018078,0.962011752
20211213,-0.006580917,0.955680833
20211214,0.001356,0.956976736
20211215,0.01874575,0.974915982
20211216,-0.021055625,0.954388517
20211217,-0.029793421,0.925954018
20211220,0.013078308,0.93806393
20211221,-0.004477,0.933864217
20211222,-0.0207195,0.914515018
20211223,-0.013248333,0.902399218
20211224,0.015609222,0.916484968
20211227,0.017541267,0.932561275
20211228,-0.013260706,0.920194854
20211229,0.015835909,0.934766976
20211230,-0.013318708,0.922317088
20220104,-0.024071563,0.900115474
20220105,-0.0018395,0.898459712
20220106,-0.0186281,0.881723115
20220107,0.030138529,0.908296953
20220110,-0.029114737,0.881852126
20220111,0.015337778,0.895377778
20220112,-0.016216238,0.880858119
20220113,0.016687529,0.895557464
20220114,0.0232425,0.916372459
20220117,-0.005805925,0.911052069
20220118,-0.016202479,0.896290767
20220119,-0.029574286,0.869783607
20220120,-0.01684276,0.855134051
20220121,0.011696219,0.865135886
20220124,-0.023990474,0.844380866
20220125,0.002065492,0.846124928
20220126,-0.034466917,0.81696161
20220127,0.005026233,0.82106785
20220207,-0.012658148,0.810674651
20220208,0.02473825,0.830729324
20220209,-0.01635595,0.817141956
20220210,-0.032064818,0.790940448
20220216,-0.000932143,0.790203179
20220217,-0.003406,0.787511747
20220218,-0.0065059,0.782388274
20220221,-0.002581636,0.780368432
20220222,0.055356833,0.823567157
20220223,-0.01690175,0.809647431
20220224,0.012374591,0.819666487
20220225,0.000873172,0.820382196
20220228,-0.00417575,0.816956485
20220301,-0.009865132,0.808897102
20220302,-0.021287784,0.791677475
20220303,-0.009954773,0.783796506
20220304,-0.0444855,0.748928926
20220307,-0.0311801,0.725577248
20220308,0.011865667,0.734186705
20220309,0.021123955,0.749695632
20220310,0.003760647,0.752514973
20220311,-0.037018156,0.724658256
20220314,-0.027593609,0.70466232
20220315,0.040118174,0.732932085
20220316,0.011428762,0.741308592
20220317,0.014676444,0.752188366
20220318,0.007595383,0.757901525
20220321,-0.016018946,0.745760741
20220322,0.002529577,0.7476472
20220323,0.013933061,0.758064214
20220324,-0.005399189,0.753971282
20220325,-0.010448033,0.746093765
20220328,-0.01136752,0.737612529
20220329,0.032384946,0.761500071
20220330,-0.023761284,0.743405852
20220331,-0.002867742,0.741273956
20220406,-0.021085565,0.725643775
20220407,-0.02967725,0.704108664
20220408,-0.041637779,0.674791142
20220411,0.010905473,0.682150059
20220412,-0.025567145,0.664709429
20220413,0.005707371,0.668503172
20220414,-0.017817175,0.656592334
20220415,0.00952628,0.662847217
20220418,-0.008730732,0.657060076
20220419,-0.021949781,0.642637751
20220420,-0.02315351,0.627758431
20220421,-0.013137789,0.619511073
20220422,-0.063411547,0.580226918
20220425,-0.020779465,0.568170113
20220426,0.047909696,0.59539097
20220427,-0.01323255,0.587512429
20220428,0.029752183,0.604992207
20220505,-0.006467912,0.60107917
20220506,0.003190303,0.602996795
20220509,0.029089206,0.620537494
20220510,0.030894581,0.639708739
20220511,0.00147812,0.640654305
20220512,-0.002473143,0.639069876
20220513,-0.01252987,0.631062414
20220516,0.018336179,0.642633687
20220517,0.000465484,0.642932822
20220518,0.003252,0.64502364
20220519,0.025348474,0.661374005
20220520,0.008917053,0.667271511
20220523,-0.048306636,0.635037869
20220524,0.009545595,0.641099683
20220525,-0.0005984,0.640716049
20220526,-0.017588533,0.629446794
20220527,0.02214784,0.643387681
20220530,0.017118611,0.654401584
20220531,0.00289872,0.656298511
20220601,0.037680962,0.68102847
20220606,-0.0098696,0.674306991
20220607,-0.009217516,0.668091556
20220608,-0.028639846,0.648957516
20220609,0.024526167,0.664873957
20220610,0.016173913,0.67562757
20220613,0.020513071,0.689486767
20220614,-0.011953,0.681245331
20220615,0.022482727,0.696561584
20220616,0.021784867,0.711736086
20220617,0.01407275,0.72175217
20220620,-0.009831647,0.714656157
20220621,0.005828,0.718821173
20220622,0.048536087,0.75370994
20220623,0.000595,0.754158398
20220624,0.010820889,0.762319062
20220627,0.002875467,0.764511085
20220628,-0.020598407,0.748763374
20220629,0.016151588,0.760857092
20220630,0.012526857,0.77038824
20220701,0.020663591,0.786307227
20220704,-0.01878372,0.771537452
20220705,0.00433675,0.774883418
20220706,0.018744211,0.789407995
20220707,-0.010681094,0.780976255
20220708,0.014822,0.792551885
20220711,-0.034342313,0.76533382
20220712,0.012225649,0.774690523
20220713,0.030432211,0.798266068
20220714,-0.008390192,0.791568462
20220715,0.020369745,0.80769251
20220718,-0.002078692,0.806013566
20220719,0.022014379,0.823757454
20220720,-0.001896852,0.822194908
20220721,-0.018940867,0.806621824
20220722,-0.007108615,0.80088786
20220725,-0.001538033,0.799656068
20220726,0.00940225,0.807174634
20220727,0.013498462,0.81807025
20220728,-0.012024517,0.80823335
20220729,0.005644971,0.812795803
20220801,-0.02054569,0.796096353
20220802,-0.020381125,0.779871014
20220803,0.005601316,0.784239317
20220804,0.020339476,0.800190334
20220805,0.009121787,0.8074895
20220808,-0.005371622,0.803151972
20220809,-0.003263581,0.800530821
20220810,0.00375405,0.803536053
20220811,-0.013054382,0.793046387
20220812,0.008254609,0.799592674
20220815,-0.009751392,0.791795533
20220816,-0.004084862,0.788561157
20220817,-0.000422873,0.788227696
20220818,-0.02001275,0.772453092
20220819,0.009524776,0.779810534
20220822,-0.009137302,0.77268517
20220823,-0.039652124,0.742046563
20220824,-0.013303837,0.732174496
20220825,-0.010278938,0.72464852
20220826,0.006728286,0.729524163
20220829,-0.006606316,0.724704695
20220830,-0.02774141,0.704600365
20220831,-0.00236968,0.702930688
20220901,0.00474685,0.706267394
20220902,0.004675978,0.709569885
20220905,0.018376547,0.72260933
20220906,0.020231667,0.737228921
20220907,-0.011262385,0.728925965
20220908,0.000443432,0.729249194
20220913,0.00553075,0.733282489
20220914,-0.039813087,0.70408825
20220915,-0.008821824,0.697876908
20220916,-0.020030182,0.683898306
20220919,0.016557167,0.695221724
20220920,-0.025544063,0.677462937
20220921,0.019134467,0.690425829
20220922,-0.028106583,0.671020318
20220923,0.000512652,0.671364318
20220926,0.0306475,0.691939956
20220927,-0.028735,0.672057061
20220928,0.013352222,0.681030517
20220930,-0.026276727,0.663135264
20221010,0.018968571,0.675713992
20221011,0.025758357,0.693119275
20221012,0.013467,0.702453512
20221013,0.021873545,0.717818661
20221014,0.011110867,0.725794248
20221017,0.020249316,0.740491085
20221018,0.005199143,0.744341004
20221019,-0.013542818,0.734260529
20221020,-0.002535471,0.732398833
20221021,-0.004600187,0.729029661
20221024,-0.006197827,0.724511261
20221025,0.028120716,0.744885036
20221026,-0.020432148,0.729665436
20221027,-0.03555474,0.703722371
20221028,0.006921909,0.708593473
20221031,0.027615931,0.728161941
20221101,0.01877944,0.741836415
20221102,0.003965607,0.744778247
20221103,0.019951455,0.759637656
20221104,-0.007636927,0.753836359
20221107,-0.006491971,0.748942475
20221108,0.003520786,0.751579341
20221109,-0.021221294,0.735629855
20221110,-0.005474357,0.731602754
20221111,-0.007681333,0.72598307
20221114,0.028246552,0.746489588
20221115,-0.019560143,0.731888145
20221116,0.004485375,0.735170938
20221117,-0.00178875,0.733855901
20221118,0.021159889,0.74938421
20221121,-0.013827,0.739022475
20221122,-0.000564364,0.738605397
20221123,0.020637286,0.753848208
20221124,-0.043367333,0.721155821
20221125,-0.000259316,0.720968814
20221128,0.0172911,0.733435158
20221129,-0.0130965,0.723829725
20221130,0.008443,0.729941019
20221201,0.01127375,0.738170192
20221202,-0.0014484,0.737101026
20221205,-0.004916667,0.733476946
20221206,0.0130451,0.743045226
20221207,0.007037333,0.748274283
20221208,0.0051325,0.752114801
20221209,0.0060722,0.756681792
20221212,0.00495775,0.760433231
20221213,-0.004481818,0.757025108
20221214,0.024597,0.775645654
20221215,0.004476,0.779117444
20221216,0.002744091,0.781255413
20221219,-0.008789875,0.774388276
20221220,-0.0197985,0.75905655
20221221,-0.0179755,0.745412129
20221222,-0.01213675,0.736365248
20221223,0.0303134,0.758686982
20221226,0.005602556,0.762937568
20221227,-0.0142114,0.752095157
20221228,0.007222125,0.757526883
20221229,-0.011997444,0.748438496
20221230,0.032821375,0.773003276
20230103,-0.008070571,0.766764698
20230104,0.0120615,0.776013031
20230105,-0.016347571,0.763327102
20230106,0.021999929,0.780120244
20230109,0.00862,0.78684488
20230110,-0.0280915,0.764741227
20230111,0.008631071,0.771341764
20230112,0.008961889,0.778254443
20230113,-0.000201107,0.77809793
20230116,-0.002803188,0.775916776
20230117,-0.0094443,0.768588785
20230118,0.005184955,0.772573883
20230119,-0.0045591,0.769051641
20230120,0.01374555,0.779622679
20230130,-0.0081606,0.77326049
20230131,0.009126189,0.780317412
20230201,0.009331882,0.787599242
20230202,-0.007783059,0.781469311
20230203,-0.000394133,0.781161308
20230206,-0.000650385,0.780653253
20230207,-0.007432615,0.774850957
20230208,0.0249406,0.794176205
20230209,-0.018478333,0.779501152
20230210,0.021142143,0.795981477
20230213,-0.0096407,0.788307658
20230214,0.002831,0.790539357
20230215,-0.029630667,0.767115149
20230216,-0.027705429,0.745861895
20230217,-0.0098232,0.738535145
20230220,0.0174439,0.751418078
20230221,-0.0069396,0.746203537
20230222,0.0046396,0.749665623
20230223,0.016701,0.762185788
20230224,-0.0045896,0.758687661
20230227,0.006593583,0.763690131
20230228,0.013336941,0.773875421
20230301,0.034888929,0.800875106
20230302,-0.016783444,0.787433663
20230303,0.007729375,0.793520033
