qid_date,total_profit,day_return
20211207,1005916.5881,0.005916588100000052
20211208,1007501.8224000001,0.0015759102879436956
20211209,1031863.9228000002,0.024180701075027764
20211210,1046167.9557000002,0.013862324851115522
20211213,1046167.9557000002,0.0
20211214,1046167.9557000002,0.0
20211215,1046167.9557000002,0.0
20211216,1046167.9557000002,0.0
20211217,1024435.9389000002,-0.020772971186504084
20211220,1089921.5371000003,0.06392356585060462
20211221,1104969.8087000002,0.0138067476306959
20211222,1161237.5389000005,0.05092241413021001
20211223,1275480.1339000005,0.09838003954661849
20211224,1319041.7175000005,0.03415308670218403
20211227,1319041.7175000005,0.0
20211228,1448014.6374000006,0.09777774136245243
20211229,1448014.6374000006,0.0
20211230,1448014.6374000006,0.0
20211231,1446783.6780000005,-0.0008501014894506274
20220104,1425450.0797000004,-0.014745534266388218
20220105,1433158.4634000005,0.0054076840780158545
20220106,1433158.4634000005,0.0
20220107,1433158.4634000005,0.0
20220110,1433158.4634000005,0.0
20220111,1433158.4634000005,0.0
20220112,1420750.5260000005,-0.00865775677768637
20220113,1394194.9337000004,-0.0186912422793642
20220114,1530865.2017000003,0.09802809112015344
20220117,1476332.9213000003,-0.03562186947579895
20220118,1476332.9213000003,0.0
20220119,1476332.9213000003,0.0
20220120,1395026.8831000002,-0.05507296967164099
20220121,1437036.3959000004,0.030113765769622634
20220124,1423796.6675000002,-0.009213217172351601
20220125,1426438.1683000003,0.0018552514276059982
20220126,1426438.1683000003,0.0
20220127,1426438.1683000003,0.0
20220128,1450810.5395000004,0.017086174319807117
20220207,1456618.0212000003,0.004002922188586627
20220208,1525141.9913000003,0.04704319808122941
20220209,1525141.9913000003,0.0
20220210,1525141.9913000003,0.0
20220216,1511235.8662000005,-0.009117921596366598
20220217,1511235.8662000005,0.0
20220218,1505993.7253000005,-0.0034687774537679223
20220221,1522046.9832000006,0.010659578210926612
20220222,1604168.7885000007,0.053954842528805905
20220223,1604168.7885000007,0.0
20220224,1580061.4375000007,-0.015027939187460393
20220225,1580061.4375000007,0.0
20220228,1588590.1096000005,0.005397683847973694
20220301,1590028.0594000006,0.0009051735821030192
20220302,1567135.2222000007,-0.014397756734329956
20220303,1585185.2682000005,0.011517861218549192
20220304,1585185.2682000005,0.0
20220307,1561198.2012000005,-0.015132027455212022
20220308,1562130.8255000005,0.0005973772575981525
20220309,1572037.6151000005,0.006341843742075247
20220310,1572037.6151000005,0.0
20220311,1572037.6151000005,0.0
20220314,1572037.6151000005,0.0
20220315,1605344.8107000007,0.0211872764875804
20220316,1628394.1857000007,0.014357896724971791
20220317,1610721.1923000007,-0.010853019222985566
20220318,1610721.1923000007,0.0
20220321,1599945.895700001,-0.006689734170948217
20220322,1639560.479300001,0.024759952012419786
20220323,1690436.7865000009,0.031030454711692742
20220324,1643869.192100001,-0.02754766979273839
20220325,1643869.192100001,0.0
20220328,1649084.5099000009,0.003172586860963924
20220329,1712371.3315000008,0.038376942612745525
20220330,1662917.9364000007,-0.028880064849415552
20220331,1662917.9364000007,0.0
20220401,1662917.9364000007,0.0
20220406,1604654.7984000004,-0.0350366886571278
20220407,1560274.9690000005,-0.027656932471863113
20220408,1560274.9690000005,0.0
20220411,1560274.9690000005,0.0
20220412,1511503.6730000004,-0.0312581416538767
20220413,1519662.5620000002,0.005397862503242314
20220414,1479803.1490000002,-0.02622912085663392
20220415,1479803.1490000002,0.0
20220418,1479803.1490000002,0.0
20220419,1479803.1490000002,0.0
20220420,1479803.1490000002,0.0
20220421,1479803.1490000002,0.0
20220422,1479803.1490000002,0.0
20220425,1479803.1490000002,0.0
20220426,1551181.3109000004,0.04823490337092138
20220427,1551181.3109000004,0.0
20220428,1551181.3109000004,0.0
20220429,1551181.3109000004,0.0
20220505,1542125.3002000004,-0.005838138092796939
20220506,1542125.3002000004,0.0
20220509,1542125.3002000004,0.0
20220510,1535258.1450000007,-0.004453046194825464
20220511,1510099.9017000007,-0.01638697920733061
20220512,1510099.9017000007,0.0
20220513,1500455.2161000008,-0.00638678645640757
20220516,1501587.7654000008,0.0007548038007717456
20220517,1573314.5143000009,0.04776727045381397
20220518,1568457.2819000008,-0.003087260910550473
20220519,1602301.7952000007,0.02157821809402508
20220520,1760330.6752000009,0.09862616423036262
20220523,1760330.6752000009,0.0
20220524,1760330.6752000009,0.0
20220525,1760330.6752000009,0.0
20220526,1724978.1172000007,-0.020082907432141178
20220527,1724978.1172000007,0.0
20220530,1739626.9047000008,0.008492158453452227
20220531,1739626.9047000008,0.0
20220601,1739626.9047000008,0.0
20220602,1782009.2093000007,0.024362870271490058
20220606,1803761.5937000006,0.01220666216901568
20220607,1803761.5937000006,0.0
20220608,1685107.1697000007,-0.06578165563255381
20220609,1717557.5123000008,0.019257138764519777
20220610,1861484.2627000005,0.08379733975095008
20220613,1864747.5931000004,0.0017530797683277452
20220614,1851860.1742000002,-0.006911079519655427
20220615,1891213.8973000003,0.02125091497094309
20220616,1898369.2556000003,0.003783473836679892
20220617,1898369.2556000003,0.0
20220620,1857832.2680000002,-0.021353584125122144
20220621,1916211.2132,0.0314231517051032
20220622,1922445.8350000002,0.0032536193072310116
20220623,1962551.0266000004,0.02086154567782673
20220624,1962551.0266000004,0.0
20220627,1936969.4012000004,-0.013034884216141181
20220628,1870322.3308000006,-0.034407910810935034
20220629,1770150.0490000006,-0.05355883322911131
20220630,1770150.0490000006,0.0
20220701,1906431.6286000004,0.07698871611307104
20220704,1890274.4911000002,-0.008475067900476073
20220705,1883382.8020000001,-0.003645866847618317
20220706,1824364.2622,-0.03133645466939978
20220707,1789010.784,-0.019378519373848768
20220708,1812298.575,0.013017132824616874
20220711,1822773.1645,0.005779726169017157
20220712,1893765.6246,0.03894750124844732
20220713,1938515.2351000002,0.023629962398040764
20220714,2128751.6271,0.09813510286401565
20220715,2128751.6271,0.0
20220718,2196178.7679000003,0.03167449877271789
20220719,2239803.0309,0.019863712206685976
20220720,2239803.0309,0.0
20220721,2239803.0309,0.0
20220722,2299914.4194,0.02683780121319233
20220725,2295302.0222,-0.002005464708205658
20220726,2361198.4560000002,0.0287092649083452
20220727,2361198.4560000002,0.0
20220728,2361198.4560000002,0.0
20220729,2592140.8176,0.09780726436321197
20220801,2846262.0217000004,0.09803526196361693
20220802,2860210.8592000003,0.004900756639288121
20220803,2860210.8592000003,0.0
20220804,2835590.9293000004,-0.008607732475670012
20220805,2857174.467,0.007611654232977783
20220808,2886969.8369999994,0.010428264127420952
20220809,2886969.8369999994,0.0
20220810,2950052.1131999996,0.02185068766272677
20220811,2932380.3683999996,-0.00599031614422261
20220812,2912471.0128999995,-0.0067894860143478735
20220815,2912471.0128999995,0.0
20220816,2919281.8691,0.00233851467356531
20220817,3061500.2503,0.048716906272516056
20220818,2974949.8893,-0.028270571263719107
20220819,2974949.8893,0.0
20220822,3021142.8083999995,0.015527293170934283
20220823,2972412.906899999,-0.01612962530751998
20220824,3054841.482299999,0.027731199527715255
20220825,3054841.482299999,0.0
20220826,3054841.482299999,0.0
20220829,2959148.982199999,-0.03132486600514298
20220830,2737441.5066999993,-0.07492271488648396
20220831,2750398.0191999995,0.00473307373629303
20220901,2750398.0191999995,0.0
20220902,2750398.0191999995,0.0
20220905,2750398.0191999995,0.0
20220906,2695932.6432999996,-0.019802725103707737
20220907,2705552.6805999996,0.003568352244967221
20220908,2706384.9376,0.0003076107170146285
20220909,2741635.9864000003,0.013025142251663874
20220913,2682350.6475000004,-0.02162407379903359
20220914,2682350.6475000004,0.0
20220915,2624494.1139,-0.021569340180756583
20220916,2784660.5234000003,0.06102753618372291
20220919,2827018.848,0.015211306456947035
20220920,2777343.9798,-0.017571466930665604
20220921,2778864.5387999997,0.0005474867395105266
20220922,2778864.5387999997,0.0
20220923,2701890.0858,-0.02769996591242253
20220926,2729111.925,0.010075109769663233
20220927,2729111.925,0.0
20220928,2687518.5958,-0.01524060952538619
20220930,2689074.3185,0.0005788695573796316
20221010,2697352.1881000004,0.003078334259135622
20221011,2845283.5591000007,0.05484317978669381
20221012,2805563.0451000007,-0.013960124948869444
20221013,2816437.0127000003,0.003875859292840107
20221014,2816437.0127000003,0.0
20221017,2815297.0857,-0.0004047408107690437
20221018,2741357.6054999996,-0.02626347342721599
20221019,2741357.6054999996,0.0
20221020,2868691.537199999,0.04644922334996678
20221021,2980168.808399999,0.03885997143799148
20221024,2980168.808399999,0.0
20221025,2980168.808399999,0.0
20221026,2860827.534899999,-0.04004513877322016
20221027,2805145.6988999993,-0.019463541692297796
20221028,2891994.801699999,0.030960638812471044
20221031,3001510.1468999987,0.0378684446927856
20221101,3226268.0108999987,0.0748815939310194
20221102,3102368.9957999983,-0.03840319982140529
20221103,3165155.7276999983,0.020238318518848334
20221104,3350631.019199998,0.0585991045801648
20221107,3370983.601299998,0.00607425347147272
20221108,3370461.942299998,-0.000154749788696335
20221109,3370461.942299998,0.0
20221110,3370461.942299998,0.0
20221111,3263555.353899998,-0.03171867543089565
20221114,3301396.3298999984,0.011595015832895163
20221115,3310019.343299998,0.002611929177331092
20221116,3267562.140499998,-0.012826874527467693
20221117,3165012.3870999976,-0.031384178476345136
20221118,3204237.2359999977,0.012393268683520258
20221121,3083155.2436999977,-0.037788086019233856
20221122,3098159.4490999975,0.0048665098621481625
20221123,3156176.098899998,0.018726166536345908
20221124,3097191.6866999976,-0.01868856817607788
20221125,3100071.5304999975,0.0009298242057043415
20221128,3100071.5304999975,0.0
20221129,3175708.0668999976,0.024398319734190457
20221130,3175708.0668999976,0.0
20221201,3175708.0668999976,0.0
20221202,3240693.3150999974,0.02046323113806738
20221205,3169177.9175999975,-0.02206793131789863
20221206,3208381.6889999975,0.012370328337289687
20221207,3231706.890099997,0.007270082976713976
20221208,3238183.604599997,0.002004115694972375
20221209,3116757.035599997,-0.03749835828564749
20221212,3116757.035599997,0.0
20221213,3135962.750199997,0.006162082697056569
20221214,3138974.3379999967,0.0009603391493753547
20221215,3079637.391699997,-0.01890329130177171
20221216,3053824.358499997,-0.008381841729019547
20221219,2950529.978499997,-0.03382459757794875
20221220,2948230.773899997,-0.0007792513944117599
20221221,2798051.4944999972,-0.05093878020998295
20221222,2775082.698499997,-0.008208853927509486
20221223,2884704.0347999968,0.039502007042619934
20221226,2884704.0347999968,0.0
20221227,2897675.4553999966,0.004496620950890436
20221228,2926263.5654999963,0.009865877162580094
20221229,2929888.9850999964,0.0012389244915403516
20221230,2965794.2426999966,0.012254818453052988
20230103,2999413.5417999965,0.011335681557394098
20230104,3088090.1561999964,0.029564650943992063
20230105,3101117.129999996,0.004218456437823031
20230106,3096157.0344999963,-0.0015994544198334835
20230109,3037184.870399996,-0.01904689053006114
20230110,3023680.599499996,-0.004446311790767562
20230111,3013975.9369999957,-0.0032095527886129515
20230112,3004148.1771999956,-0.003260729350673688
20230113,3004148.1771999956,0.0
20230116,3004148.1771999956,0.0
20230117,3075012.348399996,0.023588773595731513
20230118,3117628.507899996,0.013858858004968435
20230119,3204885.6225999966,0.027988297668850953
20230120,3289030.997499997,0.02625534412418012
20230130,3289030.997499997,0.0
20230131,3400001.5990999965,0.03373960345291632
20230201,3468208.696299996,0.020060901506062413
20230202,3511072.967899996,0.012359196159599248
20230203,3511072.967899996,0.0
20230206,3469809.337099996,-0.011752427584744863
20230207,3427123.892399996,-0.012301956837684805
20230208,3378330.365999996,-0.01423745622625566
20230209,3334793.8772999966,-0.012886983800683656
20230210,3467987.0784999975,0.03994045992067142
20230213,3443291.0059999977,-0.00712115470472904
20230214,3403639.990599998,-0.011515441283036285
20230215,3403639.990599998,0.0
20230216,3384418.5493999976,-0.005647319121024857
20230217,3457818.2984999972,0.021687550764964415
20230220,3457818.2984999972,0.0
20230221,3455216.0960999974,-0.0007525561424464296
20230222,3533320.180399997,0.02260468871633184
20230223,3533320.180399997,0.0
20230224,3533426.396399997,3.0061243979307442e-05
20230227,3533426.396399997,0.0
20230228,3533426.396399997,0.0
20230301,3531539.950199998,-0.0005338858061175921
20230302,3539540.9344999986,0.002265579439232305
